"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 27 23:54:48 BRT 2022","Sun Nov 27 23:54:57 BRT 2022","8629","","Update a Product Review","","","","Should return 404 when updating a product review informing wrong product_id",""
"passed","Sun Nov 27 23:54:17 BRT 2022","Sun Nov 27 23:54:25 BRT 2022","7961","","Create a Product Review","","","","Should return status 400 when attempting to create a product review with invalid data type",""
"passed","Sun Nov 27 23:54:04 BRT 2022","Sun Nov 27 23:54:11 BRT 2022","7006","","Create a Product Review","","","","Should return status 400 when attempting to create a product review without informing product_id, review, reviewer or reviewer e-mail",""
"passed","Sun Nov 27 23:53:49 BRT 2022","Sun Nov 27 23:53:56 BRT 2022","7125","","Create a Product Review","","","","Should create a product review",""
"passed","Sun Nov 27 23:53:56 BRT 2022","Sun Nov 27 23:54:01 BRT 2022","4366","","Create a Product Review","","","","Should return status 409 when attempting to create a duplicated product review",""
"passed","Sun Nov 27 23:55:21 BRT 2022","Sun Nov 27 23:55:23 BRT 2022","2074","","Retrieve all Product Review","","","","Should retrieve all review",""
"failed","Sun Nov 27 23:54:25 BRT 2022","Sun Nov 27 23:54:28 BRT 2022","3135","","Create a Product Review","","","","Should return status 400 when attempting to create a product review with rating < 0",""
"failed","Sun Nov 27 23:51:15 BRT 2022","Sun Nov 27 23:51:20 BRT 2022","5175","","Create a Product Review","","","","Should return status 400 when attempting to create a product review with rating > 5 or < 0",""
"passed","Sun Nov 27 23:55:03 BRT 2022","Sun Nov 27 23:55:11 BRT 2022","8196","","Delete a Product Review","","","","Should return status 401 when attempting to delete a product review without valid token",""
"passed","Sun Nov 27 23:55:11 BRT 2022","Sun Nov 27 23:55:21 BRT 2022","9983","","Delete a Product Review","","","","Should return status 404 when attempting to delete a product review without informing the id",""
"passed","Sun Nov 27 23:54:57 BRT 2022","Sun Nov 27 23:55:03 BRT 2022","5892","","Delete a Product Review","","","","Should delete a product review",""
"passed","Sun Nov 27 23:54:01 BRT 2022","Sun Nov 27 23:54:03 BRT 2022","1778","","Create a Product Review","","","","Should return status 401 when attempting to create a product review informing an invalid token",""
"passed","Sun Nov 27 23:54:39 BRT 2022","Sun Nov 27 23:54:48 BRT 2022","8553","","Update a Product Review","","","","Should return 401 when updating a product review without a valid token",""
"passed","Sun Nov 27 23:54:03 BRT 2022","Sun Nov 27 23:54:04 BRT 2022","1764","","Create a Product Review","","","","Should return status 404 when attempting to create a product review informing an invalid product_id",""
"failed","Sun Nov 27 23:54:28 BRT 2022","Sun Nov 27 23:54:31 BRT 2022","3080","","Create a Product Review","","","","Should return status 400 when attempting to create a product review with rating > 5",""
"passed","Sun Nov 27 23:54:11 BRT 2022","Sun Nov 27 23:54:17 BRT 2022","5465","","Create a Product Review","","","","Should create a product review with rating 0 when request body is missing the rating parameter",""
"passed","Sun Nov 27 23:54:31 BRT 2022","Sun Nov 27 23:54:39 BRT 2022","7943","","Update a Product Review","","","","Should update a product review",""
